locus_tag	ftype	length_bp	gene	EC_number	COG	product
AIILHNKI_00792	CDS	417				hypothetical protein
AIILHNKI_00793	CDS	1041				hypothetical protein
AIILHNKI_00794	CDS	1935		3.2.1.54	COG0366	Cyclomaltodextrinase
AIILHNKI_00795	CDS	144	rhaR_1			HTH-type transcriptional activator RhaR
AIILHNKI_00796	CDS	474	rcsC_11	2.7.13.3		Sensor histidine kinase RcsC
AIILHNKI_00797	CDS	1104				hypothetical protein
AIILHNKI_00798	CDS	1020	hmuU_2		COG0609	Hemin transport system permease protein HmuU
AIILHNKI_00799	CDS	1770	cbiD	2.1.1.195		Cobalt-precorrin-5B C(1)-methyltransferase
AIILHNKI_00800	CDS	1581	cysG_1	4.99.1.4		Siroheme synthase
AIILHNKI_00801	CDS	1254	cbiET		COG2241	Cobalamin biosynthesis bifunctional protein CbiET
AIILHNKI_00802	CDS	1278	cobB_1	6.3.5.9		Hydrogenobyrinate a,c-diamide synthase
AIILHNKI_00803	CDS	2115	btuB_2			Vitamin B12 transporter BtuB
AIILHNKI_00804	CDS	1161	cbiKp	4.99.1.3	COG4822	Sirohydrochlorin cobaltochelatase CbiKP
AIILHNKI_00805	CDS	1491	cirA_2		COG4771	Colicin I receptor
AIILHNKI_00806	CDS	579				hypothetical protein
AIILHNKI_00807	CDS	1401	cysG_2	4.99.1.4		Siroheme synthase
AIILHNKI_00808	CDS	1422	cobQ		COG1492	Cobyric acid synthase
AIILHNKI_00809	CDS	921	cobD		COG1270	Cobalamin biosynthesis protein CobD
AIILHNKI_00810	CDS	2454		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
AIILHNKI_00811	CDS	1803	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
AIILHNKI_00812	CDS	1707	ilvB	2.2.1.6	COG0028	Acetolactate synthase large subunit
AIILHNKI_00813	CDS	543	ilvH	2.2.1.6	COG0440	Putative acetolactate synthase small subunit
AIILHNKI_00814	CDS	741				hypothetical protein
AIILHNKI_00815	CDS	255				hypothetical protein
AIILHNKI_00816	CDS	291				hypothetical protein
AIILHNKI_00817	CDS	486	sigE_1		COG1595	ECF RNA polymerase sigma factor SigE
AIILHNKI_00818	CDS	606				hypothetical protein
AIILHNKI_00819	tRNA	75				tRNA-Arg(tct)
AIILHNKI_00820	CDS	492				hypothetical protein
AIILHNKI_00821	CDS	1101				hypothetical protein
AIILHNKI_00822	CDS	978	pgcA_1	5.4.2.2		Phosphoglucomutase
AIILHNKI_00823	CDS	750	pgcA_2	5.4.2.2		Phosphoglucomutase
AIILHNKI_00824	CDS	1449	dcuB		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
AIILHNKI_00825	CDS	945	ileS_1	6.1.1.5	COG0060	Isoleucine--tRNA ligase
AIILHNKI_00826	CDS	1857	ileS_2	6.1.1.5	COG0060	Isoleucine--tRNA ligase
AIILHNKI_00827	CDS	717	ileS_3	6.1.1.5	COG0060	Isoleucine--tRNA ligase
AIILHNKI_00828	CDS	381	dksA			RNA polymerase-binding transcription factor DksA
AIILHNKI_00829	CDS	546	lspA	3.4.23.36		Lipoprotein signal peptidase
AIILHNKI_00830	CDS	930				hypothetical protein
AIILHNKI_00831	CDS	1311	nupG			Nucleoside permease NupG
AIILHNKI_00832	CDS	720	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
AIILHNKI_00833	CDS	1341		6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
AIILHNKI_00834	CDS	468				hypothetical protein
AIILHNKI_00835	CDS	1482	proS	6.1.1.15	COG0442	Proline--tRNA ligase
AIILHNKI_00836	CDS	231				hypothetical protein
AIILHNKI_00837	CDS	846				hypothetical protein
AIILHNKI_00838	CDS	1068				hypothetical protein
AIILHNKI_00839	CDS	762	pal_2			Peptidoglycan-associated lipoprotein
AIILHNKI_00840	CDS	567	mtgA	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
AIILHNKI_00841	CDS	807	rlmB_1	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
AIILHNKI_00842	CDS	1233				hypothetical protein
AIILHNKI_00843	CDS	393				hypothetical protein
AIILHNKI_00844	CDS	1068	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
AIILHNKI_00845	CDS	918		1.1.1.81	COG0111	Hydroxypyruvate reductase
AIILHNKI_00846	CDS	426				hypothetical protein
AIILHNKI_00847	CDS	1248				hypothetical protein
AIILHNKI_00848	CDS	273				hypothetical protein
AIILHNKI_00849	tRNA	89				tRNA-Ser(cga)
AIILHNKI_00850	CDS	585	yigZ		COG1739	IMPACT family member YigZ
AIILHNKI_00851	CDS	3285	carB_1	6.3.5.5		Carbamoyl-phosphate synthase large chain
AIILHNKI_00852	CDS	510				hypothetical protein
AIILHNKI_00853	CDS	843	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
AIILHNKI_00854	CDS	1005				hypothetical protein
AIILHNKI_00855	CDS	1572				hypothetical protein
AIILHNKI_00856	CDS	1461				hypothetical protein
AIILHNKI_00857	CDS	573				hypothetical protein
AIILHNKI_00858	CDS	1311	dapL_1	2.6.1.83		LL-diaminopimelate aminotransferase
AIILHNKI_00859	CDS	423				hypothetical protein
AIILHNKI_00860	CDS	861	sigA_3			RNA polymerase sigma factor SigA
AIILHNKI_00861	CDS	1494				hypothetical protein
AIILHNKI_00862	CDS	858				hypothetical protein
AIILHNKI_00863	CDS	1323	thrC	4.2.3.1	COG0498	Threonine synthase
AIILHNKI_00864	CDS	1152	apgM			2,3-bisphosphoglycerate-independent phosphoglycerate mutase
AIILHNKI_00865	CDS	411	thrA_1		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
AIILHNKI_00866	CDS	2055	thrA_2		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
AIILHNKI_00867	CDS	747		1.10.3.-	COG1496	Polyphenol oxidase
AIILHNKI_00868	CDS	996	resA_3			Thiol-disulfide oxidoreductase ResA
AIILHNKI_00869	CDS	1776				hypothetical protein
AIILHNKI_00870	CDS	2670				hypothetical protein
AIILHNKI_00871	CDS	1551				hypothetical protein
AIILHNKI_00872	CDS	153				hypothetical protein
AIILHNKI_00873	CDS	396				hypothetical protein
AIILHNKI_00874	CDS	2430	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
AIILHNKI_00875	CDS	132				hypothetical protein
AIILHNKI_00876	CDS	1461				hypothetical protein
AIILHNKI_00877	CDS	816	glgA_2	2.4.1.21	COG0297	Glycogen synthase
AIILHNKI_00878	CDS	1824	recQ_2	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
AIILHNKI_00879	CDS	474				hypothetical protein
AIILHNKI_00880	CDS	1950				hypothetical protein
AIILHNKI_00881	CDS	645				hypothetical protein
AIILHNKI_00882	CDS	201				hypothetical protein
AIILHNKI_00883	CDS	1272	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
AIILHNKI_00884	CDS	1365	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
AIILHNKI_00885	CDS	822	rhgT	3.1.1.-	COG2755	Rhamnogalacturonan acetylesterase RhgT
AIILHNKI_00886	CDS	558	rbr3B	1.11.1.1	COG1592	Reverse rubrerythrin-2
AIILHNKI_00887	CDS	1329				hypothetical protein
AIILHNKI_00888	CDS	474	cdd	3.5.4.5	COG0295	Cytidine deaminase
AIILHNKI_00889	CDS	912				hypothetical protein
AIILHNKI_00890	tRNA	72				tRNA-Gly(ccc)
AIILHNKI_00891	tRNA	74				tRNA-Thr(cgt)
AIILHNKI_00892	CDS	345				hypothetical protein
AIILHNKI_00893	CDS	912	algC_2	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
AIILHNKI_00894	CDS	903				hypothetical protein
AIILHNKI_00895	CDS	1176				hypothetical protein
AIILHNKI_00896	CDS	150				hypothetical protein
AIILHNKI_00897	CDS	399	fklB	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
AIILHNKI_00898	CDS	609				hypothetical protein
AIILHNKI_00899	CDS	414				hypothetical protein
AIILHNKI_00900	CDS	498	albA	1.3.3.13		Albonoursin synthase
AIILHNKI_00901	CDS	246				hypothetical protein
AIILHNKI_00902	CDS	222				hypothetical protein
AIILHNKI_00903	CDS	630		3.1.3.-	COG1011	D-ribitol-5-phosphate phosphatase
AIILHNKI_00904	CDS	846				hypothetical protein
AIILHNKI_00905	tRNA	74				tRNA-Lys(ctt)
AIILHNKI_00906	tRNA	74				tRNA-Lys(ctt)
AIILHNKI_00907	CDS	1029				hypothetical protein
AIILHNKI_00908	CDS	459				hypothetical protein
AIILHNKI_00909	CDS	582				hypothetical protein
AIILHNKI_00910	CDS	2445				hypothetical protein
AIILHNKI_00911	CDS	654	rnd	3.1.13.5		Ribonuclease D
AIILHNKI_00912	CDS	1119	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
AIILHNKI_00913	CDS	1302	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
AIILHNKI_00914	CDS	375				hypothetical protein
AIILHNKI_00915	CDS	102				hypothetical protein
AIILHNKI_00916	CDS	627				hypothetical protein
AIILHNKI_00917	CDS	807				hypothetical protein
AIILHNKI_00918	CDS	627				hypothetical protein
AIILHNKI_00919	CDS	429	rrrD	3.2.1.17	COG3772	Lysozyme RrrD
AIILHNKI_00920	CDS	1383				hypothetical protein
AIILHNKI_00921	CDS	810				hypothetical protein
AIILHNKI_00922	CDS	435	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
AIILHNKI_00923	CDS	1947	rho	3.6.4.-		Transcription termination factor Rho
AIILHNKI_00924	CDS	603	engB		COG0218	putative GTP-binding protein EngB
AIILHNKI_00925	CDS	1797	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
AIILHNKI_00926	CDS	618	recR		COG0353	Recombination protein RecR
AIILHNKI_00927	CDS	426				hypothetical protein
AIILHNKI_00928	CDS	840	wbbL	2.4.1.289	COG1216	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
AIILHNKI_00929	CDS	519	speG	2.3.1.57		Spermidine N(1)-acetyltransferase
AIILHNKI_00930	tRNA	75				tRNA-Asp(gtc)
AIILHNKI_00931	tRNA	75				tRNA-Asp(gtc)
AIILHNKI_00932	CDS	1845	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
AIILHNKI_00933	CDS	1074	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
AIILHNKI_00934	CDS	3228	carB_2	6.3.5.5		Carbamoyl-phosphate synthase large chain
AIILHNKI_00935	CDS	1209	sasA_7	2.7.-.-		Adaptive-response sensory-kinase SasA
AIILHNKI_00936	CDS	1122	nspC	4.1.1.96		Carboxynorspermidine/carboxyspermidine decarboxylase
AIILHNKI_00937	tRNA	74				tRNA-Gly(gcc)
AIILHNKI_00938	tRNA	83				tRNA-Leu(cag)
AIILHNKI_00939	tRNA	87				tRNA-Leu(gag)
AIILHNKI_00940	tRNA	74				tRNA-Gly(gcc)
AIILHNKI_00941	CDS	543				hypothetical protein
AIILHNKI_00942	CDS	351	ssb		COG0629	Single-stranded DNA-binding protein
AIILHNKI_00943	CDS	1317				hypothetical protein
AIILHNKI_00944	CDS	1266				hypothetical protein
AIILHNKI_00945	CDS	897				hypothetical protein
AIILHNKI_00946	CDS	810				hypothetical protein
AIILHNKI_00947	CDS	1275	nhaC_1		COG1757	Na(+)/H(+) antiporter NhaC
AIILHNKI_00948	CDS	1263	uxaA	4.2.1.7	COG2721	Altronate dehydratase
AIILHNKI_00949	CDS	1068	purR			HTH-type transcriptional repressor PurR
AIILHNKI_00950	CDS	1023	iolC	2.7.1.92		5-dehydro-2-deoxygluconokinase
AIILHNKI_00951	CDS	678	kdgA		COG0800	KHG/KDPG aldolase
AIILHNKI_00952	CDS	3180	sasA_8	2.7.-.-		Adaptive-response sensory-kinase SasA
AIILHNKI_00953	CDS	720	comA		COG2197	Transcriptional regulatory protein ComA
AIILHNKI_00954	CDS	588				hypothetical protein
AIILHNKI_00955	CDS	759				hypothetical protein
AIILHNKI_00956	CDS	333				hypothetical protein
AIILHNKI_00957	CDS	2409	feoB		COG0370	Fe(2+) transporter FeoB
AIILHNKI_00958	CDS	702	bcrA			Bacitracin transport ATP-binding protein BcrA
AIILHNKI_00959	CDS	918	secA_1		COG0653	Protein translocase subunit SecA
AIILHNKI_00960	CDS	735	secA_2		COG0653	Protein translocase subunit SecA
AIILHNKI_00961	CDS	1758	secA_3			Protein translocase subunit SecA
AIILHNKI_00962	CDS	1164				hypothetical protein
AIILHNKI_00963	CDS	1092				hypothetical protein
AIILHNKI_00964	CDS	378				hypothetical protein
AIILHNKI_00965	CDS	237				hypothetical protein
AIILHNKI_00966	CDS	453				hypothetical protein
AIILHNKI_00967	CDS	1869				hypothetical protein
AIILHNKI_00968	CDS	2136				hypothetical protein
AIILHNKI_00969	CDS	639				hypothetical protein
AIILHNKI_00970	CDS	276				hypothetical protein
AIILHNKI_00971	CDS	324				hypothetical protein
AIILHNKI_00972	CDS	165				hypothetical protein
AIILHNKI_00973	CDS	1977				hypothetical protein
AIILHNKI_00974	CDS	792				hypothetical protein
AIILHNKI_00975	CDS	183				hypothetical protein
AIILHNKI_00976	CDS	93				hypothetical protein
AIILHNKI_00977	CDS	210				hypothetical protein
AIILHNKI_00978	CDS	426				hypothetical protein
AIILHNKI_00979	CDS	1107	rcsC_12	2.7.13.3		Sensor histidine kinase RcsC
AIILHNKI_00980	CDS	1278	pbuO		COG2252	Guanine/hypoxanthine permease PbuO
AIILHNKI_00981	CDS	2049				hypothetical protein
AIILHNKI_00982	CDS	945				hypothetical protein
AIILHNKI_00983	CDS	1041	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
AIILHNKI_00984	CDS	834	ispE_1	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
AIILHNKI_00985	CDS	1281	deaD_1	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
AIILHNKI_00986	CDS	1182				hypothetical protein
AIILHNKI_00987	CDS	1143	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
AIILHNKI_00988	CDS	1266	lon1_1	3.4.21.53	COG0466	Lon protease 1
AIILHNKI_00989	CDS	1233	lon2_1	3.4.21.53	COG0466	Lon protease 2
AIILHNKI_00990	CDS	711	yfiC_1	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
AIILHNKI_00991	CDS	333				hypothetical protein
AIILHNKI_00992	CDS	1125	dnaN_1		COG0592	Beta sliding clamp
AIILHNKI_00993	CDS	645	dinG_1	3.1.-.-		3'-5' exonuclease DinG
AIILHNKI_00994	CDS	723				hypothetical protein
AIILHNKI_00995	CDS	150				hypothetical protein
AIILHNKI_00996	CDS	312	recN_1		COG0497	DNA repair protein RecN
AIILHNKI_00997	CDS	138				hypothetical protein
AIILHNKI_00998	CDS	852				hypothetical protein
AIILHNKI_00999	CDS	252				hypothetical protein
AIILHNKI_01000	CDS	345	dinG_2	3.1.-.-		3'-5' exonuclease DinG
AIILHNKI_01001	CDS	240				hypothetical protein
AIILHNKI_01002	CDS	615	dnaN_2		COG0592	Beta sliding clamp
AIILHNKI_01003	CDS	381				hypothetical protein
AIILHNKI_01004	CDS	618	yfiC_2	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
AIILHNKI_01005	CDS	669	lon2_2	3.4.21.53	COG0466	Lon protease 2
AIILHNKI_01006	CDS	219	lon_1	3.4.21.53		Lon protease
AIILHNKI_01007	CDS	168	lon_2	3.4.21.53		Lon protease
AIILHNKI_01008	CDS	519	lon1_2	3.4.21.53	COG0466	Lon protease 1
AIILHNKI_01009	CDS	285	lon_3	3.4.21.53		Lon protease
AIILHNKI_01010	CDS	237	lon_4	3.4.21.53	COG0466	Lon protease
AIILHNKI_01011	CDS	2457	lon1_3	3.4.21.53	COG0466	Lon protease 1
AIILHNKI_01012	CDS	276	yfiC_3	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
AIILHNKI_01013	CDS	438	yfiC_4	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
AIILHNKI_01014	CDS	381				hypothetical protein
AIILHNKI_01015	CDS	1125	dnaN_3		COG0592	Beta sliding clamp
AIILHNKI_01016	CDS	858	dinG_3	3.1.-.-		3'-5' exonuclease DinG
AIILHNKI_01017	CDS	906				hypothetical protein
AIILHNKI_01018	CDS	1659	recN_2		COG0497	DNA repair protein RecN
AIILHNKI_01019	CDS	1662				hypothetical protein
AIILHNKI_01020	CDS	1509	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
AIILHNKI_01021	CDS	621				hypothetical protein
AIILHNKI_01022	CDS	1275	rarA		COG2256	Replication-associated recombination protein A
AIILHNKI_01023	CDS	825				hypothetical protein
AIILHNKI_01024	CDS	2187	hppA1	7.2.3.-	COG3808	Putative K(+)-stimulated pyrophosphate-energized sodium pump
AIILHNKI_01025	CDS	648				hypothetical protein
AIILHNKI_01026	CDS	945				hypothetical protein
AIILHNKI_01027	CDS	570	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
AIILHNKI_01028	CDS	1437	modF		COG1119	ABC transporter ATP-binding protein ModF
AIILHNKI_01029	CDS	600				hypothetical protein
AIILHNKI_01030	CDS	1782	lepA	3.6.5.-	COG0481	Elongation factor 4
AIILHNKI_01031	CDS	387				hypothetical protein
AIILHNKI_01032	CDS	738			COG0217	putative transcriptional regulatory protein
AIILHNKI_01033	CDS	2463	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
AIILHNKI_01034	CDS	621	cmk_1	2.7.4.25		Cytidylate kinase
AIILHNKI_01035	CDS	1659				hypothetical protein
AIILHNKI_01036	CDS	651				hypothetical protein
AIILHNKI_01037	CDS	594				hypothetical protein
AIILHNKI_01038	CDS	453				hypothetical protein
AIILHNKI_01039	CDS	555				hypothetical protein
AIILHNKI_01040	CDS	102				hypothetical protein
AIILHNKI_01041	CDS	471				hypothetical protein
AIILHNKI_01042	CDS	1200				hypothetical protein
AIILHNKI_01043	CDS	2271	gyrA_2	5.6.2.2	COG0188	DNA gyrase subunit A
AIILHNKI_01044	CDS	318	gyrA_3	5.6.2.2	COG0188	DNA gyrase subunit A
AIILHNKI_01045	CDS	2535	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
AIILHNKI_01046	CDS	1932	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
AIILHNKI_01047	CDS	699				hypothetical protein
AIILHNKI_01048	CDS	603	rnfA	7.2.1.2	COG4657	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit A
AIILHNKI_01049	CDS	588	rnfE	7.2.1.2	COG4660	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit E
AIILHNKI_01050	CDS	621	rnfG	7.-.-.-	COG4659	Ion-translocating oxidoreductase complex subunit G
AIILHNKI_01051	CDS	993	rnfD	7.2.1.2	COG4658	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit D
AIILHNKI_01052	CDS	1386	rnfC	7.1.1.-	COG4656	Proton-translocating ferredoxin:NAD(+) oxidoreductase complex subunit C
AIILHNKI_01053	CDS	882	rnfB	7.2.1.2	COG2878	Na(+)-translocating ferredoxin:NAD(+) oxidoreductase complex subunit B
AIILHNKI_01054	CDS	372				hypothetical protein
AIILHNKI_01055	CDS	441				hypothetical protein
AIILHNKI_01056	CDS	636				hypothetical protein
AIILHNKI_01057	CDS	1464				hypothetical protein
AIILHNKI_01058	CDS	2703	metH_1	2.1.1.13	COG0646	Methionine synthase
AIILHNKI_01059	CDS	483	smpB		COG0691	SsrA-binding protein
AIILHNKI_01060	CDS	504				hypothetical protein
AIILHNKI_01061	CDS	807	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
AIILHNKI_01062	CDS	2190	bamA_2			Outer membrane protein assembly factor BamA
AIILHNKI_01063	CDS	741	rlmB_2	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
AIILHNKI_01064	CDS	675				hypothetical protein
AIILHNKI_01065	CDS	1617	pfp	2.7.1.90	COG0205	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
AIILHNKI_01066	CDS	264				hypothetical protein
AIILHNKI_01067	CDS	534				hypothetical protein
AIILHNKI_01068	CDS	2949				hypothetical protein
AIILHNKI_01069	CDS	222				hypothetical protein
AIILHNKI_01070	CDS	2013				hypothetical protein
AIILHNKI_01071	CDS	678				hypothetical protein
AIILHNKI_01072	CDS	276				hypothetical protein
AIILHNKI_01073	CDS	1569				hypothetical protein
AIILHNKI_01074	CDS	1146				hypothetical protein
AIILHNKI_01075	CDS	396	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
AIILHNKI_01076	CDS	237				hypothetical protein
AIILHNKI_01077	CDS	414	yjdF			putative protein YjdF
AIILHNKI_01078	CDS	456	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
AIILHNKI_01079	CDS	825				hypothetical protein
AIILHNKI_01080	CDS	339				hypothetical protein
AIILHNKI_01081	CDS	702	azoR_2	1.7.1.17		FMN-dependent NADH-azoreductase
AIILHNKI_01082	CDS	711				hypothetical protein
AIILHNKI_01083	CDS	462				hypothetical protein
AIILHNKI_01084	CDS	513	mshD	2.3.1.189		Mycothiol acetyltransferase
AIILHNKI_01085	CDS	516				hypothetical protein
AIILHNKI_01086	CDS	675				hypothetical protein
AIILHNKI_01087	CDS	939				hypothetical protein
AIILHNKI_01088	CDS	2349				hypothetical protein
AIILHNKI_01089	CDS	2532		3.2.1.21	COG1472	Beta-glucosidase BoGH3B
AIILHNKI_01090	CDS	3204				hypothetical protein
AIILHNKI_01091	CDS	1677	sasA_9	2.7.-.-		Adaptive-response sensory-kinase SasA
AIILHNKI_01092	CDS	753				hypothetical protein
AIILHNKI_01093	CDS	1851				hypothetical protein
AIILHNKI_01094	CDS	654	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
AIILHNKI_01095	CDS	1194		3.4.24.-	COG0612	putative zinc protease
AIILHNKI_01096	CDS	495	sigL		COG1595	ECF RNA polymerase sigma factor SigL
AIILHNKI_01097	CDS	1002	xsa			Xylosidase/arabinosidase
AIILHNKI_01098	CDS	1449	yagG_2		COG2211	Putative glycoside/cation symporter YagG
AIILHNKI_01099	CDS	1953				hypothetical protein
AIILHNKI_01100	CDS	1392				hypothetical protein
AIILHNKI_01101	CDS	2076				hypothetical protein
AIILHNKI_01102	CDS	546				hypothetical protein
AIILHNKI_01103	CDS	1506	udk_1	2.7.1.48		Uridine kinase
AIILHNKI_01104	CDS	1203				hypothetical protein
AIILHNKI_01105	CDS	441				hypothetical protein
AIILHNKI_01106	CDS	2016		3.2.1.55		Extracellular exo-alpha-L-arabinofuranosidase
AIILHNKI_01107	CDS	2412				hypothetical protein
AIILHNKI_01108	CDS	885	adoK	2.7.1.20	COG0524	Adenosine kinase
AIILHNKI_01109	CDS	1305	pehA	3.2.1.15		Endo-polygalacturonase
AIILHNKI_01110	CDS	2964	susC_8			TonB-dependent receptor SusC
AIILHNKI_01111	CDS	1623	susD_3			Starch-binding protein SusD
AIILHNKI_01112	CDS	909	thiY		COG0715	Formylaminopyrimidine-binding protein
AIILHNKI_01113	CDS	1668				hypothetical protein
AIILHNKI_01114	CDS	1311				hypothetical protein
AIILHNKI_01115	CDS	1104		3.4.11.-	COG3191	putative aminopeptidase
AIILHNKI_01116	tRNA	75				tRNA-Met(cat)
AIILHNKI_01117	CDS	918	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
AIILHNKI_01118	CDS	771				hypothetical protein
AIILHNKI_01119	CDS	480				hypothetical protein
AIILHNKI_01120	CDS	519	algU		COG1595	RNA polymerase sigma-H factor
AIILHNKI_01121	CDS	774	argB	2.7.2.8	COG0548	Acetylglutamate kinase
AIILHNKI_01122	CDS	1050				hypothetical protein
AIILHNKI_01123	CDS	303	btrV_2		COG1366	Putative anti-sigma factor antagonist BtrV
AIILHNKI_01124	CDS	420	rsbW_1	2.7.11.1		Serine-protein kinase RsbW
AIILHNKI_01125	CDS	1893	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
AIILHNKI_01126	CDS	528	aroK	2.7.1.71	COG0703	Shikimate kinase
AIILHNKI_01127	CDS	495	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
AIILHNKI_01128	CDS	1893	topA_2	5.6.2.1		DNA topoisomerase 1
AIILHNKI_01129	CDS	534	nudC_2	3.6.1.22		NADH pyrophosphatase
AIILHNKI_01130	CDS	1452				hypothetical protein
AIILHNKI_01131	CDS	849	axeA1_1	3.1.1.72	COG0657	Acetylxylan esterase
AIILHNKI_01132	CDS	288				hypothetical protein
AIILHNKI_01133	CDS	393	resA_4			Thiol-disulfide oxidoreductase ResA
AIILHNKI_01134	CDS	810				hypothetical protein
AIILHNKI_01135	CDS	2343	pnp_1	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
AIILHNKI_01136	CDS	462	rplM_1		COG0102	50S ribosomal protein L13
AIILHNKI_01137	CDS	387	rpsI_1		COG0103	30S ribosomal protein S9
AIILHNKI_01138	CDS	141				hypothetical protein
AIILHNKI_01139	CDS	495				hypothetical protein
AIILHNKI_01140	CDS	414		3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
AIILHNKI_01141	CDS	561	def	3.5.1.88	COG0242	Peptide deformylase
AIILHNKI_01142	CDS	1950	ycf3_1			Photosystem I assembly protein Ycf3
AIILHNKI_01143	CDS	1947	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
AIILHNKI_01144	CDS	708	infC			Translation initiation factor IF-3
AIILHNKI_01145	CDS	198	rpmI		COG0291	50S ribosomal protein L35
AIILHNKI_01146	CDS	345	rplT			50S ribosomal protein L20
AIILHNKI_01147	CDS	309	btrV_3		COG1366	Putative anti-sigma factor antagonist BtrV
AIILHNKI_01148	CDS	2217	rsbW_2	2.7.11.1		Serine-protein kinase RsbW
AIILHNKI_01149	CDS	636	cmk_2	2.7.4.25		Cytidylate kinase
AIILHNKI_01150	CDS	2196	yhgF		COG2183	Protein YhgF
AIILHNKI_01151	CDS	618				hypothetical protein
AIILHNKI_01152	CDS	1989	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
AIILHNKI_01153	CDS	2016	pepO_1	3.4.24.-	COG3590	Neutral endopeptidase
AIILHNKI_01154	CDS	924				hypothetical protein
AIILHNKI_01155	CDS	3453				hypothetical protein
AIILHNKI_01156	CDS	3306	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
AIILHNKI_01157	CDS	783				hypothetical protein
AIILHNKI_01158	CDS	744	prpC	3.1.3.16	COG0631	Protein phosphatase PrpC
AIILHNKI_01159	CDS	918	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
AIILHNKI_01160	CDS	1785	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
AIILHNKI_01161	CDS	933				hypothetical protein
AIILHNKI_01162	CDS	1128	hemW		COG0635	Heme chaperone HemW
AIILHNKI_01163	CDS	2160	fusA		COG0480	Elongation factor G
AIILHNKI_01164	CDS	1563	sasA_10	2.7.-.-		Adaptive-response sensory-kinase SasA
AIILHNKI_01165	CDS	708	mprA			Response regulator MprA
AIILHNKI_01166	CDS	345				hypothetical protein
AIILHNKI_01167	CDS	267				hypothetical protein
AIILHNKI_01168	CDS	591				hypothetical protein
